"","ID","key_press","trial_type","trial_index","control_level","correct","confidence_level","test_part","staircase","reverse","staircaseA","staircaseB","average_thre"
"2108",16,65,"dot-motion",111,0.00500225,NA,2,"stimulus",0,1,0,0,0
"2109",18,65,"dot-motion",53,0.0125015,NA,1,"stimulus",1,1,0,0,0
"2110",90,65,"dot-motion",129,0.0525068,NA,3,"stimulus",0,1,0,0,0
"2111",93,66,"dot-motion",145,0.0050033,1,4,"stimulus",0,NA,0,0,0
"2112",92,65,"dot-motion",175,0.25,1,4,"catch trial",0,NA,0,0,0
"2113",36,65,"dot-motion",221,0.25,NA,3,"catch trial",0,NA,0,0,0
"2114",12,66,"dot-motion",133,0.0520042,1,4,"stimulus",0,NA,0,0,0
"2115",54,65,"dot-motion",99,0.0100022,1,3,"stimulus",1,NA,0,0,0
"2116",41,65,"dot-motion",113,0.0775084,NA,3,"stimulus",0,1,0,0,0
"2117",76,65,"dot-motion",201,0.119012,1,1,"stimulus",0,1,0,0,0
"2118",33,65,"dot-motion",233,0.0085096,1,3,"stimulus",0,NA,0,0,0
"2119",71,66,"dot-motion",263,0.0035051,1,2,"stimulus",0,NA,0,0,0
"2120",14,65,"dot-motion",137,0.0060033,1,4,"stimulus",1,NA,0,0,0
"2121",85,65,"dot-motion",111,0,NA,1,"stimulus",0,1,0,0,0
"2122",16,65,"dot-motion",113,0.004003,NA,2,"stimulus",1,1,0,0,0
"2123",90,66,"dot-motion",131,0.055507,NA,2,"stimulus",0,NA,0,0,0
"2124",93,66,"dot-motion",147,0.0055033,1,4,"stimulus",1,NA,0,0,0
"2125",41,65,"dot-motion",115,0.0805087,NA,1,"stimulus",0,NA,0,0,0
"2126",82,65,"dot-motion",215,0.0650069,NA,2,"stimulus",1,NA,0,0,0
"2127",36,65,"dot-motion",223,0.0430056,NA,3,"stimulus",0,1,0,0,0
"2128",49,66,"dot-motion",39,0.005,1,4,"stimulus",0,NA,0,0,0
"2129",92,65,"dot-motion",177,0.0060057,1,3,"stimulus",0,NA,0,0,0
"2130",54,65,"dot-motion",101,0.00750225,NA,1,"stimulus",1,1,0,0,0
"2131",12,65,"dot-motion",135,0.0510042,NA,3,"stimulus",0,1,0,0,0
"2132",14,66,"dot-motion",139,0.0025045,1,4,"stimulus",0,NA,0,0,0
"2133",76,66,"dot-motion",203,0.118012,1,4,"stimulus",0,NA,0,0,0
"2134",71,66,"dot-motion",265,0.0025051,NA,2,"stimulus",0,1,0,0,0
"2135",46,65,"dot-motion",111,0.25,NA,4,"catch trial",0,NA,0,0,0
"2136",33,66,"dot-motion",235,0.0075096,1,3,"stimulus",0,NA,0,0,0
"2137",18,65,"dot-motion",55,0.0100015,1,2,"stimulus",0,NA,0,0,0
"2138",85,65,"dot-motion",113,0.00750075,1,1,"stimulus",0,1,0,0,0
"2139",90,65,"dot-motion",133,0.25,1,2,"catch trial",0,NA,0,0,0
"2140",36,65,"dot-motion",225,0.0436056,1,3,"stimulus",0,1,0,0,0
"2141",36,NA,"score trial",0,0,NA,0,"score trial",0,NA,0.0421253,0.0591651,0.0506452
"2142",93,66,"dot-motion",149,0.0045033,1,3,"stimulus",1,NA,0,0,0
"2143",16,66,"dot-motion",115,0.0070033,1,2,"stimulus",1,1,0,0,0
"2144",5,65,"dot-motion",23,0.025,1,4,"stimulus",1,NA,0,0,0
"2145",92,66,"dot-motion",179,0.0050057,1,2,"stimulus",0,NA,0,0,0
"2146",54,66,"dot-motion",103,0.0245041,1,3,"stimulus",0,NA,0,0,0
"2147",41,65,"dot-motion",117,0.083509,1,2,"stimulus",0,1,0,0,0
"2148",46,66,"dot-motion",113,0.050003,NA,4,"stimulus",1,NA,0,0,0
"2149",49,66,"dot-motion",41,0.005,1,3,"stimulus",1,NA,0,0,0
"2150",14,66,"dot-motion",141,4.50045e-06,1,4,"stimulus",0,NA,0,0,0
